Action,User_Index,Gas_Used
Service_Selection,34,31240
Service_Selection,34,31252
Service_Selection,35,31240
Service_Selection,35,31240
Service_Selection,36,31240
Service_Selection,37,31240
Service_Selection,37,31252
Service_Selection,37,31252
Service_Selection,38,31240
Service_Selection,39,31252
Service_Selection,39,31252
Service_Selection,39,31252
Service_Selection,39,31252
Service_Selection,39,31252
Service_Selection,40,31240
Service_Selection,41,31252
Service_Selection,42,31252
Service_Selection,42,31252
Service_Selection,42,31240
Service_Selection,43,31252
Service_Selection,44,31240
Service_Selection,45,31240
Service_Selection,45,31240
Service_Selection,46,31240
Service_Selection,46,31240
Service_Selection,46,31252
Service_Selection,47,31240
Service_Selection,48,31240
Service_Selection,49,31252
Service_Selection,49,31252
Service_Selection,49,31252
Service_Selection,49,31252
Service_Selection,50,31240
